"Name","Species","GRIN","Synonym","Breeding Program","Parent1","Parent2","Pedigree","Description"
"SCW990002W1","aestivum","","","CLE","","","CIQUEBA/C762///FL72185/3/C762//ETC./SC847523/SC828351//SC838//H14H15/WILLIAMS,H18/NC96BGTA6(SALUDA*3/PI42772)T.MONO.AEG",""
"SCW990013D1","aestivum","","","CLE","","","NC96BG(SAL*3/TA23770/DOW-ABESIB/3/ART71SIB//CI9321/BEAUSIB//F1VA85-24/H14H15//BRULE.SC.VA.CO,EA9/(ANDY)",""
"SCW990013H1","aestivum","","","CLE","","","NC96BG(SAL*3/TA23770/DOW-ABESIB/3/ART71SIB//CI9321/BEAUSIB//F1VA85-24/H14H15//BRULE.SC.VA.CO,EA9/(ANDY)",""
"SCW990013J1","aestivum","","","CLE","","","NC96BG(SAL*3/TA23770/DOW-ABESIB/3/ART71SIB//CI9321/BEAUSIB//F1VA85-24/H14H15//BRULE.SC.VA.CO,EA9/(ANDY)",""
"SCW990013K1","aestivum","","","CLE","","","NC96BG(SAL*3/TA23770/DOW-ABESIB/3/ART71SIB//CI9321/BEAUSIB//F1VA85-24/H14H15//BRULE.SC.VA.CO,EA9/(ANDY)",""
"SCW990013N1","aestivum","","","CLE","","","NC96BG(SAL*3/TA23770/DOW-ABESIB/3/ART71SIB//CI9321/BEAUSIB//F1VA85-24/H14H15//BRULE.SC.VA.CO,EA9/(ANDY)",""
"SCW990013V1","aestivum","","","CLE","","","NC96BG(SAL*3/TA23770/DOW-ABESIB/3/ART71SIB//CI9321/BEAUSIB//F1VA85-24/H14H15//BRULE.SC.VA.CO,EA9/(ANDY)",""
"SCW990022A1","aestivum","","","CLE","","","F1-VA,H14H15/H13/H14H15//F2-VA85-24/H14H15",""
"SCW990022B1","aestivum","","","CLE","","","F1-VA,H14H15/H13/H14H15//F2-VA85-24/H14H15",""
"SCW990022C1","aestivum","","","CLE","","","F1-VA,H14H15/H13/H14H15//F2-VA85-24/H14H15",""
"SD0111-9","aestivum","","","SDK","","","",""
"SD03197-1-1","aestivum","","","SDK","","","",""
"SD03229-9","aestivum","","","SDK","","","",""
"SD05118-1","aestivum","","","SDK","","","",""
"SD05280","aestivum","","","SDK","","","",""
"SD06158","aestivum","","","SDK","","","",""
"SD06W049-3","aestivum","","","SDK","","","",""
"SD06W160-2","aestivum","","","SDK","","","",""
"SD07019","aestivum","","","SDK","","","",""
"SD07111","aestivum","","","SDK","","","",""
"SD07265","aestivum","","","SDK","","","",""
"SD07336","aestivum","","","SDK","","","",""
"SD07366","aestivum","","","SDK","","","",""
"SD07W083-4","aestivum","","","SDK","","","",""
"SD07W083-7","aestivum","","","SDK","","","",""
"SD08028","aestivum","","","SDK","","","",""
"SD08079","aestivum","","","SDK","","","",""
"SD08086","aestivum","","","SDK","","","",""
"SD08091","aestivum","","","SDK","","","",""
"SD08133","aestivum","","","SDK","","","",""
"SD08141","aestivum","","","SDK","","","",""
"SD08145","aestivum","","","SDK","","","",""
"SD08160","aestivum","","","SDK","","","",""
"SD08162","aestivum","","","SDK","","","",""
"SD08165","aestivum","","","SDK","","","",""
"SD08175","aestivum","","","SDK","","","",""
"SD08196","aestivum","","","SDK","","","",""
"SD08198","aestivum","","","SDK","","","",""
"SD08W009","aestivum","","","SDK","","","",""
"SD08W014","aestivum","","","SDK","","","",""
"SD08W015","aestivum","","","SDK","","","",""
"SD08W029","aestivum","","","SDK","","","",""
"SD09034","aestivum","","","SDK","","","",""
"SD09117","aestivum","","","SDK","","","",""
"SD10027-2","aestivum","","","SDK","","","",""
"SD10066","aestivum","","","SDK","","","",""
"SD110060-7","aestivum","","","SDK","","","98X0435-15/OVERLAND",""
"SD110085-1","aestivum","","","SDK","","","ARAPAHOE/W03-20//DANBY",""
"SD11023-8","aestivum","","","SDK","","","INTRADA/ALICE//NW97S218-LT",""
"SD13099-8","aestivum","","","SDK","","","SD06158/SD05W012",""
"SD13117-1","aestivum","","","SDK","","","SD00111-9/OVERLAND",""
"SD13134-3","aestivum","","","SDK","","","LYMAN/SD03164-1",""
"SD13137-1","aestivum","","","SDK","","","KS06O3A~58-1/NE05430",""
"SD13238-3","aestivum","","","SDK","","","HV9W94-CB94005R//OVERLAND/TAM302/3/OVERLAND",""
"SD3973","aestivum","","","SDK","","","PI 285933/OXEN//SD3635",""
"SD3975","aestivum","","","SDK","","","PI 519798/SD3650//REEDER",""
"SD3979","aestivum","","","SDK","","","FN1700-155/SD3638//SD3506",""
"SD3989","aestivum","","","SDK","","","PI 349478/FN1500-074//SD3599",""
"SD3991","aestivum","","","SDK","","","FN1700-006/SD3628//SD3522",""
"SD4041","aestivum","","","SDK","","","PI 168730/SD3533//ND740",""
"SD4042","aestivum","","","SDK","","","PI 168730/SD3533//ND740",""
"SD4059","aestivum","","","SDK","","","PI 584914/SD3730//SD3641",""
"SD4066","aestivum","","","SDK","","","PI 225448/PARSHALL//SD3603",""
"SD4182","aestivum","","","SDK","","","SD3618/ND739",""
"SD4186","aestivum","","","SDK","","","PI67392/SD3696//ND744",""
"SD4192","aestivum","","","SDK","","","SD3728/MN98389-A",""
"SD4313","aestivum","","","SDK","","","STEELE-ND/SD3974",""
"SD4331","aestivum","","","SDK","","","GLENN/SD3997",""
"SD4337","aestivum","","","SDK","","","SD3948/SD3997",""
"SD4338","aestivum","","","SDK","","","SD3618/ND739",""
"SD4343","aestivum","","","SDK","","","SD3623/SD3744",""
"SD4487","aestivum","","","SDK","","","SD4156/SD4187",""
"SD4504","aestivum","","","SDK","","","GLENN/SD4072",""
"SD4508","aestivum","","","SDK","","","KELBY/SD3997",""
"SD4510","aestivum","","","SDK","","","KELBY/SD3997",""
"SD4514","aestivum","","","SDK","","","SD3997/SD4072",""
"SD4518","aestivum","","","SDK","","","SD4011/SD4181",""
"SD4536","aestivum","","","SDK","","","SD4186/SD4178",""
"SD4541","aestivum","","","SDK","","","SD4189/SD4181",""
"SD4544","aestivum","","","SDK","","","SD4178/KELBY",""
"SD4546","aestivum","","","SDK","","","CA907-816W/SD4178",""
"SD97060","aestivum","","","SDK","","","ND8889/NE90574",""
"SE-MO98-274-8","aestivum","","","KWS","","","IL-87-2834-1/960314",""
"SE00-10277-12","aestivum","","","KWS","","","CALEDONIA/TW93213",""
"SE00-10279-3","aestivum","","","KWS","","","TW96286/TW94109",""
"SE00-10286-7","aestivum","","","KWS","","","PION25W60/TW96286",""
"SE00-10303-35","aestivum","","","KWS","","","PION25W60/CALEDONIA",""
"SE00-4040-10","aestivum","","","KWS","","","LIBRA/N95L189",""
"SE90-1209-9","aestivum","","XPEDX","KWS","","","TURDA81/CARDINAL",""
"SE91-1492-4","aestivum","","GYPSYSUNBURST","KWS","","","TAISHANG1/GR863//CARDINAL",""
"SE94-1012-25","aestivum","","MINGO","KWS","","","T814/L880119",""
"SE94C-0480-2-2","aestivum","","TRIAD","KWS","","","84C-048-2-1/PION2510//FFR555",""
"SE98-1083-14","aestivum","","ROSCOE","KWS","","","PION25R57/OH546",""
"SE98-1089-34","aestivum","","TREVOR","KWS","","","P25R57/SE1694-12",""
"SE98-1094-C20","aestivum","","","KWS","","","FREEDOM/SE2549",""
"SE99-1015-7","aestivum","","","KWS","","","T97/A941315",""
"SETTLER","aestivum","","","NEB","","","",""
"SH1","aestivum","","","CAN","","","BW205",""
"SH2","aestivum","","","CAN","","","BW205",""
"SH3","aestivum","","","CAN","","","BW205",""
"SS8302","aestivum","","","OSU","","","",""
"SS8309","aestivum","","","OSU","","","",""
"SS8700","aestivum","","","USG","","","SSEXP8700",""
"SUNNY","aestivum","","","KWS","","","GR860/P2550//HOPEWELL",""
"SY901(EXMC07*7001W)","aestivum","","","APS","","","P25W33/DW97*6997",""
"T104","aestivum","","","TRI","","","T814*2/T408",""
"T105","aestivum","","","TRI","","","T814*2/T408",""
"T106","aestivum","","","TRI","","","T814*2/T408",""
"T109","aestivum","","","TRI","","","T85/T814",""
"T115","aestivum","","","TRI","","","T814//COKER747/ROAZON",""
"T116","aestivum","","","TRI","","","T68/T814",""
"T123","aestivum","","","TRI","","","T441/T63",""
"T124","aestivum","","","TRI","","","T814*2//COKER747/ROAZON",""
"T126","aestivum","","","TRI","","","FOSTER/T814",""
"T127","aestivum","","","TRI","","","GA84-1114/2*T814",""
"T141","aestivum","","","TRI","","","T441/T13",""
"T143","aestivum","","","TRI","","","P2751/2*T814",""
"T148","aestivum","","","TRI","","","VERNVILLE/OH645",""
"T152","aestivum","","","TRI","","","B88/2180//T81",""
"T155","aestivum","","","TRI","","","T126/T127",""
"T157","aestivum","","","TRI","","","OKP648/T81",""
"T162","aestivum","","","TRI","","","T143/OH669",""
"T169","aestivum","","","TRI","","","T143/B980582",""
"T170","aestivum","","","TRI","","","T104/IL95-947",""
"T171","aestivum","","","TRI","","","P92145EB\205./T116",""
"T177","aestivum","","","TRI","","","P92145EB\205/T116",""
"T178","aestivum","","","TRI","","","P92145EB\205/T116",""
"TABOO","aestivum","","","KWS","","","L930605/ASHLAND",""
"TN04-01","aestivum","","","UTN","","","JACKSON/DOZIER",""
"TN1002","aestivum","","","UTN","","","AR839-27-1-3/(FL302/PIO2251)//G65201/(MASSEY/FREEDOM)",""
"TN1101","aestivum","","","UTN","","","(SALUDA/CARDINAL)/OH645//(MASSEY/FREEDOM)/GA90552AE33",""
"TN1102","aestivum","","","UTN","","","KY90C-292-4-1/TX91-57//(SALUDA/BECKER)/VA94W-158",""
"TN1201","aestivum","","","UTN","","","(P2552//FFRX304/DOZIER/3/VA94W-158//FFR555/MADISON)/NC98-26192",""
"TN1202","aestivum","","","UTN","","","(C747/ABI90-8369-718)/KY90C-292-4-1//TRIBUTE/(VERNE/P2580)",""
"TN1301","aestivum","","","UTN","","","[HICKORY/GA84386-1//FR555]-F6/B980696//{[HICKORY/VA94-54-479//P2628/COKER9663]-F6/[VA94-52-60/T91-427///PIONEER2628//T93-448/MO91-1003]-F6}",""
"TN1302","aestivum","","","UTN","","","(P2580/HICKORY///VA94-54-479//FFRX304/DOZIER)-F6/DOMINION//AWD99*5725/[Wakefield/COKER9543)-F6]",""
"TN1303","aestivum","","","UTN","","","AWD99*5725/TN603//[(VA94-52-68//PIONEER2580/T93-448)]-F6/VA98W-631",""
"TN1401","aestivum","","","UTN","","","MO0-3701/TN603//OH708/[FOSTER/P2628//IL90-6364]-F6",""
"TN1501","aestivum","","","UTN","","","[(Becker/FL302)/OH599//(CARDINAL/FL302)/PATTON]- F6/96229-3A41//M01-4377/[G3782/(CARDINAL/SALUDA)//KY86C-61-8]-F6",""
"TN1503","aestivum","","","UTN","","","961395-3E25/P25R78//[G3782//(CARDINAL/SALUDA)/KY86C-61-8]-F6/BRANSON",""
"TN1504","aestivum","","","UTN","","","PioXW03X/[VA-94-52-68/(Becker/SALUDA)//P88288C1-6-1-2/GA871339]-F6//C9553/TN603",""
"TN1505","aestivum","","","UTN","","","961395-3E25/[(Becker/FL302)/OH599//(CARDINAL/FL302)/PATTON]-F6//P26R15/[FOSTER/P2628//IL90-6364]-F6",""
"TN501","aestivum","","","UTN","","","P2552//FFLEX304/DOZIER",""
"TN601","aestivum","","","UTN","","","TITAN/HOLLEY//SH9313/SH9302/3/MADISON/P2551/BLUEBOY",""
"TN604","aestivum","","","UTN","","","FOSTER/P2628//DIALLELH/IL90-6364",""
"TN701","aestivum","","","UTN","","","(BECKER/SALUDA)/P2552//TX92D7702/L930605",""
"TN802","aestivum","","","UTN","","","(CARDINAL/FL302)/AREXP494B22//(FILLMORE/CARDINAL)/JACKSON",""
"TN902","aestivum","","","UTN","","","ILLF322W/BL940582//(CARD/MASS)/T106",""
"TNX-01-1","aestivum","","","UTN","","","COKER747/ABI90-8369-718",""
"TURKEY","aestivum","","","NEB","","","",""
"TW005-008","aestivum","","","DAS","","","BAVARIA/P2510",""
"TW043-008","aestivum","","","DAS","","","PIO.2510/FREEDOM",""
"TW044-094","aestivum","","","DAS","","","PIO.2510/MARILEE",""
"TW106-048","aestivum","","","DAS","","","RAMROD/CALEDONIA",""
"TW110-062","aestivum","","","DAS","","","25W33/CALEDONIA",""
"TW111-005","aestivum","","","DAS","","","CALEDONIA/W044(P2510/MARILEE)",""
"TW115-122","aestivum","","","DAS","","","CALEDONIA/SUPERIOR",""
"TW122-001","aestivum","","","DAS","","","P2510/SUPERIOR",""
"TW137-003","aestivum","","","DAS","","","W052(SUPERIOR/FREEDOM)/W044(P2510/MARILEE)",""
"TW156-021","aestivum","","","DAS","","","SUPERIOR/TW97613",""
"TW253-011","aestivum","","","DAS","","","TW005-059/CALEDONIA",""
"TW412-033","aestivum","","","DAS","","","TW006-007/EMMIT(TW044-094)",""
"TW435-025","aestivum","","","DAS","","","TW060-075/D8006",""
"TW528-001","aestivum","","","DAS","","","SUPERIOR/WATFORD",""
"TW528-003","aestivum","","","DAS","","","TW137-003/WATFORD(AUBREY)",""
"TW532-078","aestivum","","","DAS","","","",""
"TW94315","aestivum","","","DAS","","","CASEY/CENTURY",""
"TW97613","aestivum","","","DAS","","","RUBY/TW87213(AUGUSTA//WW501/YORKSTAR",""
"TWF507-001","aestivum","","","DAS","","","W103-054/TWF064-080",""
"TWF507-013","aestivum","","","DAS","","","",""
"TX00D1626","aestivum","","","TAM","","","TX89D9615/L870537",""
"TX12D4603","aestivum","","","TAM","","","COKER9553/LA841",""
"TX12D4625","aestivum","","","TAM","","","SS8641/CK9553",""
"TX12D4700","aestivum","","","TAM","","","JAMESTOWN/LA97113UC-124",""
"TX12D4733","aestivum","","","TAM","","","DKGR9108/LA841",""
"TX12D4741","aestivum","","","TAM","","","DK9577/GA96229-3E39",""
"TX12D4788","aestivum","","","TAM","","","GA951216-2E26/PIO26R61",""
"TX12D4791","aestivum","","","TAM","","","SS8641/PIO26R61",""
"TX12D4845","aestivum","","","TAM","","","LA482/LA98094BUB-58-5",""
"TX12D4858","aestivum","","","TAM","","","LA97113UC-124-3/GA951216-2E26",""
"TX12D4860","aestivum","","","TAM","","","LA97113UC-124-3-B/GA951216-2E26",""
"TX12D4896","aestivum","","","TAM","","","PIO26R61/SS8641",""
"TX12D4898","aestivum","","","TAM","","","PIO26R61/SS8641",""
"TX12D4927","aestivum","","","TAM","","","VA02W-713/AGS2010",""
"TX12D4930","aestivum","","","TAM","","","VA02W-713/AGS2010",""
"TX87-20","aestivum","","","TAM","","","CALDWELL/SIOUXLAND",""
"TX91-13","aestivum","","","TAM","","","FL8172-G98-L5/GORE",""
"TX91-27","aestivum","","","TAM","","","VA85-54-290/FL85377G3-26",""
"TX91-57","aestivum","","","TAM","","","GORE/FL85377G3-26",""
"TX96D1320","aestivum","","","TAM","","","C87-13WH/RL6048//SIETECERROS/NIKI",""
"TX97-167","aestivum","","","TAM","","","ADDER//TX84U4408/PAVON76",""
"TX97D4556","aestivum","","","TAM","","","ADDER//TX84U4408/PAVON76",""
"TX97D6719","aestivum","","","TAM","","","PIONEER2548/COKER9134",""
"TX97D6737","aestivum","","","TAM","","","TX85-264/AL870573",""
"TX98D2106","aestivum","","","TAM","","","CALDWELL/FL302//COKER797",""
"TX98D2423","aestivum","","","TAM","","","2163*W3453/W2441",""
"TX98D2577","aestivum","","","TAM","","","ADDER//TX84U4408/PAVON76",""
"TX99D4478","aestivum","","","TAM","","","TX92D8040*3/TTCC259",""
"TX99D4709","aestivum","","","TAM","","","TX87U7121/TX89D6452",""
"TXE21","aestivum","","","TAM","","","961565-2E46/AGS2485//96229-3A41",""
"UGRC19-114B","aestivum","","","UGR","","","ACRON/25R18",""
"UGRC19/21","aestivum","","","UGR","","","ACRON/25R18",""
"UGRCC2-78","aestivum","","","UGR","","","25R47/ADVDYNO",""
"UGRCC5-116","aestivum","","","UGR","","","25R56/EMMIT",""
"UGRCDH1-46","aestivum","","","UGR","","","SUPERIOR/D8006W",""
"UGRCDH1-62","aestivum","","","UGR","","","SUPERIOR/D8006W",""
"UGRCDH5-15","aestivum","","","UGR","","","25R56/EMMIT",""
"UGRCDH5-28","aestivum","","","UGR","","","25R56/EMMIT",""
"UOGRC19-114B","aestivum","","","UGR","","","ACRON/25R18",""
"UX0066-4-79","aestivum","","","NCS","","","NEUSE*2/VA01W-476//SS8641",""
"VA00W-130","aestivum","","","VAT","","","91-54-343(IN71761A4-31-5-48//71-54-147/MCN1813)/90-52-26(LOV29/TYL//RCT*2/GAINES)//CK9803/92-51-38(71-54-147/CK68-15//IN65309C7-18-2-3-2)",""
"VA00W-194","aestivum","","","VAT","","","92-52-85(CK78-23/CK65-20/ATR)/CK9835//93-52-11(77-52-18/R107//TYL)",""
"VA00W-286","aestivum","","","VAT","","","PION2684(XW514=PIONW9057B/CALDWELL//HUNTER)/93-54-185(WLR/3/MSY*3/BALKAN//SAL)",""
"VA00W-337","aestivum","","","VAT","","","93-52-61(WLR*2/C39//SAL)/FFR555W//CK9835",""
"VA00W-366","aestivum","","","VAT","","","93-54-418(SAL*2/SC822290=NAINARI60/ATR71//KVZ)/FFR555W//CK9803",""
"VA00W-381","aestivum","","","VAT","","","JACKSON/91-54-222(71-54-147/CK68-15//IN65309C7-18-2-3-2)//PION2684:SEGRED/WHITESEED-96",""
"VA00W-459","aestivum","","","VAT","","","CK9803/91-54-222(71-54-147/CK68-15//IN65309C7-18-2-3-2)//91-54-343(IN71761A4-31-5-48//71-54-147/MCN1813)/90-52-26(LOV29/TYL//RCT*2/GAINES)",""
"VA00W-462","aestivum","","","VAT","","","CK9803/91-54-222(71-54-147/CK68-15//IN65309C7-18-2-3-2)//91-54-343(IN71761A4-31-5-48//71-54-147/MCN1813)/90-52-26(LOV29/TYL//RCT*2/GAINES)",""
"VA00W-464","aestivum","","","VAT","","","CK9803/91-54-222(71-54-147/CK68-15//IN65309C7-18-2-3-2)//91-54-343(IN71761A4-31-5-48//71-54-147/MCN1813)/90-52-26(LOV29/TYL//RCT*2/GAINES)",""
"VA00W-562","aestivum","","VA00W562","VAT","","","PC-7(CHILL_S_/YM16:SCAB-RES)/PION2548//PION2684",""
"VA00W-566","aestivum","","VA00W566","VAT","","","PC-7(CHILL_S_/YM16:SCAB-RES)/PION2548//PION2684",""
"VA01W-112","aestivum","","","VAT","","","SHILOH(ABI89-4417A=CK80-33/BECKER))LR-RES/94-52-28(WLR*2/C39//SAL)",""
"VA01W-145","aestivum","","","VAT","","","94-52-69(82-54-330/9/SAL/7/FL737G3-12-2-12/TYL/5/CI13836/8*CC//WLR/3/SVRN/4/FLND/6/TYL/8/SAL/7/CI13836/8*CC//WLR/3/SVRN/4/CK916/5/ST1-25//ASII/8*CC/6/TYL/10/ASII/8*CC//4*TYL/3/MSY/4/3*SAL)/CK9904",""
"VA01W-148","aestivum","","","VAT","","","VA94-52-60(82-54-330/9/SAL/7/FL737G3-12-2-12/TYL/5/CI13836/9*CC//WLR/3/SVRN/4/FLND/6/TYL/8/CK65-20/ATR*2//AXM/9*CC/3/SAL/4/71-54-147/CK68-15/5/SAL)/PION2643",""
"VA01W-154","aestivum","","","VAT","","","94-52-68&94-52-69(82-54-330/9/SAL/7/FL737G3-12-2-12/TYL/5/CI13836/8*CC//WLR/3/SVRN/4/FLND/6/TYL/8/SAL/7/CI13836/8*CC//WLR/3/SVRN/4/CK916/5/ST1-25//ASII/8*CC/6/TYL/10/ASII/8*CC//4*TYL/3/MSY/4/3*SAL)/PION2643",""
"VA01W-18","aestivum","","","VAT","","","91-54-222(71-54-147/CK68-15//IN65309C7-18-2-3-2)/FFR555W//93-52-55(MSY*3/BALKAN//SAL)",""
"VA01W-243","aestivum","","","VAT","","","91-54-350(IN71761A4-31-5-48//71-54-147/MCN1813)/92-51-32(WLR/C39//82-54-108/TYL)//USG3209",""
"VA01W-258","aestivum","","","VAT","","","C4227[GE/WNK(GULLTHESIS)/3/S92B/5*GE//N10BY/3*GE/4/TLT/CI8487//GE*]/CK9835//94-54-479(SAL/4/MSY*2/3/MSY*3/BALKAN//SAL)",""
"VA01W-283","aestivum","","","VAT","","","GA8619-D25(MCN1003/CK797/3/HUNTER//VEERY/AMIGO)/CK9803//CK9835",""
"VA01W-310","aestivum","","","VAT","","","POCAHONTAS/MSY//93-54-418(SAL*2/SC822290=NAINARI60/ATR71//KVZ)[;3/TFGL]/3/PION2643",""
"VA01W-317","aestivum","","","VAT","","","GA8619-D25(MCN1003/CK797/3/HUNTER//VEERY/AMIGO)/93-52-55(MSY*3/BALKAN//SAL)//KY85C-31-6(LR-RES)",""
"VA01W-35","aestivum","","","VAT","","","CK9803/91-54-222(71-54-147/CK68-15//IN65309C7-18-2-3-2)//CK9835",""
"VA01W-353","aestivum","","","VAT","","","L890714(SAL/FL74265-10-A2-B2)LR24,26/91-54-346(IN71761A4-31-5-48//71-54-147/MCN1813)//MD82176-09(94WWPMN#25)",""
"VA01W-447","aestivum","","VA01W447","VAT","","","WUHAN//90-52-82/COKER9835/3/COKER9803",""
"VA01W-448","aestivum","","VA01W448","VAT","","","PC-11(SHANGHAI4/CHILL_S_:SCAB-RES)/3/92-51-39(IN71761A4-31-5-48//71-54-147/MCN1813)//FFR555W/RCT/4/COKER9803",""
"VA01W-461","aestivum","","VA01W461","VAT","","","PC-11(SHANGHAI4/CHILL_S_:SCAB-RES)/3/VA92-51-39//FFR555W/RCT/4/COKER9803",""
"VA01W-462","aestivum","","VA01W462","VAT","","","PC-7(CHILL_S_/YM16:SCABRES)/3/92-51-39//COKER9803/RCT/4/93-52-55",""
"VA01W-465","aestivum","","VA01W465","VAT","","","PC-7(CHILL_S_/YM16:SCABRES)/PIONEER2548//PIONEER2684",""
"VA01W-469","aestivum","","VA01W469","VAT","","","MADISON/VR95B717",""
"VA01W-476","aestivum","","VA01W476","VAT","","","ROANE/W14,H2",""
"VA01W-99","aestivum","","","VAT","","","FFR525/93-52-55(MSY*3/BALKAN//SAL)",""
"VA02W-124","aestivum","","","VAT","","","FFR555W/91-54-343(IN71761A4-31-5-48//71-54-147/MCN1813)//USG3209(VA94-54-479)",""
"VA02W-267","aestivum","","","VAT","","","95-51-21(POCAHONTAS_S_)/SC901241(SL4/64078/6/TIF72-60/ATR71//GABOTA/3/LOVII/4/TIF72-60/ATR71/5/BEAU/6/CK762)LR-RES",""
"VA02W-398","aestivum","","","VAT","","","VA96-52-73(SAVANNAH/FFR555W)/VA96-52-15<WLR/6/MSY*4/BALKAN/5/SAL/WLR_S_/GO4779/3/WLR/4/SAL)",""
"VA02W-513","aestivum","","","VAT","","","L890682(SAL/CK797)/USG3209(VA94-54-479)//94-52-60(82-54-330/9/SAL/7/FL737G3-12-2-12/TYL/5/CI13836/9*CC//WLR/3/SVRN/4/FLND/6/TYL/8/CK65-20/ATR*2//AXM/9*CC/3/SAL/4/71-54-147/CK68-15/5/SAL)/PION2643",""
"VA02W-519","aestivum","","","VAT","","","PION2628(XW523=FLND/3/2*IN4946A4/MOW7470//W521)/USG3209(VA94-54-479)//JAYPEE=ATR6/AR39-3(DC//FORLANI/GARIBALDO)",""
"VA02W-553","aestivum","","","VAT","","","SANTEE(VA94-52-69)/CK9904//FFR555W",""
"VA02W-559","aestivum","","","VAT","","","94-52-60(82-54-330/9/SAL/7/FL737G3-12-2-12/TYL/5/CI13836/9*CC//WLR/3/SVRN/4/FLND/6/TYL/8/CK65-20/ATR*2//AXM/9*CC/3/SAL/4/71-54-147/CK68-15/5/SAL)/PION2643//USG3209(VA94-54-479)",""
"VA02W-567","aestivum","","","VAT","","","94-52-68(SANTEE_S_)/PION2643//CK9803",""
"VA02W-596","aestivum","","","VAT","","","MD82176-09(94WWPMN#25)/PION2643//GA8619-D25(93WWPMN32=MCN1003/CK797/3/HUNTER//VEERY/AMIGO)/93-52-55(MSY*3/BALKAN//SAL)",""
"VA02W-62","aestivum","","","VAT","","","94-52-68&94-52-69(SANTEE)/PION2643",""
"VA02W-683","aestivum","","","VAT","","","VA97W-624=FFR555W/RCT//CK9803/88-54-612(MSY*2/BALKAN):BS-VARIANTS",""
"VA02W-694","aestivum","","VA02W694","VAT","","","96-54-250(CK9803/FREEDOM)/P92823A1-1-2-3-5(CLARK*4/NING7840)",""
"VA02W-708","aestivum","","VA02W708","VAT","","","NING7840/PION2684//96-54-244(CK9803/FREEDOM)",""
"VA02W-709","aestivum","","VA02W709","VAT","","","NING7840/PION2684//96-54-244(CK9803/FREEDOM)",""
"VA02W-713","aestivum","","VA02W713","VAT","","","NING7840/P2691//ROANE",""
"VA02W-729","aestivum","","VA02W729","VAT","","","NING7840(SCAB-RESSPRINGLINE)/PION2691//ROANE(93-54-429=71-54-147/CK68-15//IN65309C7-18-2-3-2)",""
"VA02W-732","aestivum","","VA02W732","VAT","","","PC-11(SHANGHAI4/CHILL_S_:SCAB-RES)/3/92-51-39(IN71761A4-31-5-48//71-54-147/MCN1813)//FFR555W/RCT/4/93-52-23&24(MSY//HUNTER/WLR)",""
"VA02W734","aestivum","","","VAT","","","PC-7(CHILL_S_/YM16:SCAB-RES)/3/92-51-39(IN71761A4-31-4-48//71-54-147/MCN1813)//CK9803/RCT/4/93-52-55(MSY*3/BALKAN//SAL)",""
"VA03W-110","aestivum","","","VAT","","","IN93HF407-1/PION2643//93-52-55(MSY*3/BALKAN//SAL),:SUS-H.FLY",""
"VA03W-166","aestivum","","","VAT","","","P921682A4-6(NEWTON*3/P80164H5-2-9(D6647/PI94587):H16-HF-RES)/96-54-348(IN81401A1-32-2(PMRES.)/FFR555W):RESHF-BIOB,C,D,E,L:F9",""
"VA03W-192","aestivum","","","VAT","","","FFR555W//94-54-423(SAL/MV11-83)/CK9904/3/96-54-244(SISSON_S_)",""
"VA03W-203","aestivum","","","VAT","","","GORE/PION2643//USG3209(94-54-479)",""
"VA03W-204","aestivum","","","VAT","","","GORE/PION2643//USG3209(94-54-479)",""
"VA03W-249","aestivum","","","VAT","","","USG3209(94-54-479)/JAYPEE(AR26158-4)//GORE/PION2643",""
"VA03W-294","aestivum","","","VAT","","","POCAHONTAS(93-52-60)/96-52-66(SAL/NASW85-5186)//96-51-30(82-54-330/9/SAL/7/FL737G3-12-2-12/TYL/5/CI13836/8*CC//WLR/3/SVRN/4/FLND/6/TYL/8/SAL/7/CI13836/8*CC//WLR/3/SVRN/4/CK916/5/ST1-25//ASII/8*CC/6/TYL/10/SAL)/PION2643",""
"VA03W-310","aestivum","","","VAT","","","95-51-21(POCAHONTAS_S_)/CK9904//RENWOOD3260(96-54-326=SC861562(PMRES)/CK9803)",""
"VA03W-411","aestivum","","","VAT","","","ROANE(93-54-429)/PION2643//SS520(96-54-158=FFR555W/GORE)",""
"VA03W-415","aestivum","","","VAT","","","ROANE(93-54-429)/PION2643//96-54-361(TARA/MASISON)",""
"VA03W-435","aestivum","","","VAT","","","ROANE(93-54-429)/CK9835//96-54-270(88-54-612(MSY*2/BALKAN)/FFR511W)",""
"VA03W-436","aestivum","","","VAT","","","ROANE(93-54-429)/CK9835//96-54-270(88-54-612(MSY*2/BALKAN)/FFR511W)",""
"VA03W-445","aestivum","","","VAT","","","ROANE(93-54-429)/NCV931007(TYL/CK78-23//MCN1003/3/4*MSY/8/SAL/7/FL737G3-12-2-12/TYL/5/CI13836/9*CC//WLR/3/SVRN/4/FLND/6/TYL)//96-54-234(SISSON_S_)",""
"VA03W-453","aestivum","","","VAT","","","ROANE(93-54-429)/SANTEE(94-52-69)//PION2643",""
"VA03W-456","aestivum","","","VAT","","","ROANE(93-54-429)/SANTEE(94-52-69)//PION2643",""
"VA03W-509","aestivum","","","VAT","","","96-52-69(SAVANNAH/MADISON)/96-52-82(NASW85-5186/NC84-93,WHITE-SEED)//96-52-68(MADISON/NASW85-96)/PION2643",""
"VA03W-630","aestivum","","","VAT","","","VR95B717/PION2684,F4:6",""
"VA03W-633","aestivum","","","VAT","","","VA96W-234//VR95B717/VA96W-234,BC1F5",""
